Component,File,Variable,Category,Type,Public?,Risk Level,Context
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,session,Sensitive,Auth Token,No,Medium,"})

bot.command('help', async ctx => {
  if (ctx.chat?.type !== 'private') return
  await ctx.reply(
    `Messages you send here route to a paired Claude Code session. ` +
    `Text and photos are for"
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,session,Sensitive,Auth Token,No,Medium,"bot.catch(err => {
  process.stderr.write(`telegram channel: handler error (polling continues): ${err.error}\n`)
})

// 409 Conflict = another getUpdates consumer is still active (zombie from a
// pre"
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,session,Sensitive,Auth Token,No,Medium,"return // bot.stop() was called — clean exit from the loop
    } catch (err) {
      if (err instanceof GrammyError && err.error_code === 409) {
        const delay = Math.min(1000 * attempt, 15000)
 "
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/hookify/hooks/posttooluse.py,CLAUDE_PLUGIN_ROOT,Config,Env (Python),No,Low,"import os
import sys
import json

# Add plugin root to Python path for imports
PLUGIN_ROOT = os.environ.get('CLAUDE_PLUGIN_ROOT')
if PLUGIN_ROOT and PLUGIN_ROOT not in sys.path:
    sys.path.insert(0,"
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/hookify/hooks/pretooluse.py,CLAUDE_PLUGIN_ROOT,Config,Env (Python),No,Low,"import os
import sys
import json

# Add plugin root to Python path for imports
PLUGIN_ROOT = os.environ.get('CLAUDE_PLUGIN_ROOT')
if PLUGIN_ROOT and PLUGIN_ROOT not in sys.path:
    sys.path.insert(0,"
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/hookify/hooks/stop.py,CLAUDE_PLUGIN_ROOT,Config,Env (Python),No,Low,"import os
import sys
import json

# Add plugin root to Python path for imports
PLUGIN_ROOT = os.environ.get('CLAUDE_PLUGIN_ROOT')
if PLUGIN_ROOT and PLUGIN_ROOT not in sys.path:
    sys.path.insert(0,"
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/hookify/hooks/userpromptsubmit.py,CLAUDE_PLUGIN_ROOT,Config,Env (Python),No,Low,"import os
import sys
import json

# Add plugin root to Python path for imports
PLUGIN_ROOT = os.environ.get('CLAUDE_PLUGIN_ROOT')
if PLUGIN_ROOT and PLUGIN_ROOT not in sys.path:
    sys.path.insert(0,"
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/security-guidance/hooks/security_reminder_hook.py,session,Sensitive,Auth Token,No,Medium,"except Exception as e:
        # Silently ignore logging errors to avoid disrupting the hook
        pass


# State file to track warnings shown (session-scoped using session ID)

# Security patterns "
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/security-guidance/hooks/security_reminder_hook.py,session,Sensitive,Auth Token,No,Medium,"""reminder"": ""⚠️ Security Warning: This code appears to use os.system. This should only be used with static arguments and never with arguments that could be user-controlled."",
    },
]


def get_state_"
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/security-guidance/hooks/security_reminder_hook.py,session,Sensitive,Auth Token,No,Medium,"},
]


def get_state_file(session_id):
    """"""Get session-specific state file path.""""""
    return os.path.expanduser(f""~/.claude/security_warnings_state_{session_id}.json"")


def cleanup_old_state_fil"
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/security-guidance/hooks/security_reminder_hook.py,session,Sensitive,Auth Token,No,Medium,"]


def get_state_file(session_id):
    """"""Get session-specific state file path.""""""
    return os.path.expanduser(f""~/.claude/security_warnings_state_{session_id}.json"")


def cleanup_old_state_files("
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/security-guidance/hooks/security_reminder_hook.py,session,Sensitive,Auth Token,No,Medium,"pass  # Ignore errors for individual file cleanup
    except Exception:
        pass  # Silently ignore cleanup errors


def load_state(session_id):
    """"""Load the state of shown warnings from file."""
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/security-guidance/hooks/security_reminder_hook.py,session,Sensitive,Auth Token,No,Medium,"pass  # Silently ignore cleanup errors


def load_state(session_id):
    """"""Load the state of shown warnings from file.""""""
    state_file = get_state_file(session_id)
    if os.path.exists(state_file)"
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/security-guidance/hooks/security_reminder_hook.py,session,Sensitive,Auth Token,No,Medium,"except (json.JSONDecodeError, IOError):
            return set()
    return set()


def save_state(session_id, shown_warnings):
    """"""Save the state of shown warnings to file.""""""
    state_file = get"
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/security-guidance/hooks/security_reminder_hook.py,session,Sensitive,Auth Token,No,Medium,"return set()


def save_state(session_id, shown_warnings):
    """"""Save the state of shown warnings to file.""""""
    state_file = get_state_file(session_id)
    try:
        os.makedirs(os.path.dirname("
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/security-guidance/hooks/security_reminder_hook.py,session,Sensitive,Auth Token,No,Medium,"input_data = json.loads(raw_input)
    except json.JSONDecodeError as e:
        debug_log(f""JSON decode error: {e}"")
        sys.exit(0)  # Allow tool to proceed if we can't parse input

    # Extrac"
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/security-guidance/hooks/security_reminder_hook.py,session,Sensitive,Auth Token,No,Medium,"except json.JSONDecodeError as e:
        debug_log(f""JSON decode error: {e}"")
        sys.exit(0)  # Allow tool to proceed if we can't parse input

    # Extract session ID and tool information from "
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/security-guidance/hooks/security_reminder_hook.py,session,Sensitive,Auth Token,No,Medium,"if rule_name and reminder:
        # Create unique warning key
        warning_key = f""{file_path}-{rule_name}""

        # Load existing warnings for this session
        shown_warnings = load_state(s"
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/security-guidance/hooks/security_reminder_hook.py,session,Sensitive,Auth Token,No,Medium,"if rule_name and reminder:
        # Create unique warning key
        warning_key = f""{file_path}-{rule_name}""

        # Load existing warnings for this session
        shown_warnings = load_state(s"
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/security-guidance/hooks/security_reminder_hook.py,session,Sensitive,Auth Token,No,Medium,"warning_key = f""{file_path}-{rule_name}""

        # Load existing warnings for this session
        shown_warnings = load_state(session_id)

        # Check if we've already shown this warning in this"
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/security-guidance/hooks/security_reminder_hook.py,session,Sensitive,Auth Token,No,Medium,"# Check if we've already shown this warning in this session
        if warning_key not in shown_warnings:
            # Add to shown warnings and save
            shown_warnings.add(warning_key)
     "
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/plugins/skill-creator/skills/skill-creator/scripts/run_eval.py,session,Sensitive,Auth Token,No,Medium,"]
        if model:
            cmd.extend([""--model"", model])

        # Remove CLAUDECODE env var to allow nesting claude -p inside a
        # Claude Code session. The guard is for interactive term"
.claude/scripts,.claude/scripts/security/scan_config.py,session,Sensitive,Auth Token,No,Medium,"PATTERNS = {
    ""ts_env"": {""regex"": r'process\.env\.([a-zA-Z0-9_]+)', ""type"": ""Env (Node)"", ""exts"": {'.ts','.tsx','.js','.jsx'}},
    ""ts_vite_env"": {""regex"": r'import\.meta\.env\.([a-zA-Z0-9_]+)', """
.claude/scripts,.claude/scripts/security/scan_config.py,Authorization,Sensitive,Auth Token,No,Medium,"""ts_storage"": {""regex"": r'(?:localStorage|sessionStorage)\.getItem\([\'""]([a-zA-Z0-9_-]+)[\'""]\)', ""type"": ""Browser Storage"", ""exts"": {'.ts','.tsx','.js','.jsx'}},
    ""py_env"": {""regex"": r'(?:os\.env"
.claude/scripts,.claude/scripts/security/scan_config.py,x-api-key,Sensitive,Auth Token,No,Medium,"""ts_storage"": {""regex"": r'(?:localStorage|sessionStorage)\.getItem\([\'""]([a-zA-Z0-9_-]+)[\'""]\)', ""type"": ""Browser Storage"", ""exts"": {'.ts','.tsx','.js','.jsx'}},
    ""py_env"": {""regex"": r'(?:os\.env"
.claude/scripts,.claude/scripts/security/scan_config.py,stripe-signature,Sensitive,Auth Token,No,Medium,"""ts_storage"": {""regex"": r'(?:localStorage|sessionStorage)\.getItem\([\'""]([a-zA-Z0-9_-]+)[\'""]\)', ""type"": ""Browser Storage"", ""exts"": {'.ts','.tsx','.js','.jsx'}},
    ""py_env"": {""regex"": r'(?:os\.env"
.claude/scripts,.claude/scripts/security/scan_config.py,jwt,Sensitive,Auth Token,No,Medium,"""ts_storage"": {""regex"": r'(?:localStorage|sessionStorage)\.getItem\([\'""]([a-zA-Z0-9_-]+)[\'""]\)', ""type"": ""Browser Storage"", ""exts"": {'.ts','.tsx','.js','.jsx'}},
    ""py_env"": {""regex"": r'(?:os\.env"
.claude/scripts,.claude/scripts/security/scan_config.py,bearer,Sensitive,Auth Token,No,Medium,"""ts_storage"": {""regex"": r'(?:localStorage|sessionStorage)\.getItem\([\'""]([a-zA-Z0-9_-]+)[\'""]\)', ""type"": ""Browser Storage"", ""exts"": {'.ts','.tsx','.js','.jsx'}},
    ""py_env"": {""regex"": r'(?:os\.env"
.claude/scripts,.claude/scripts/security/scan_config.py,session,Sensitive,Auth Token,No,Medium,"""ts_storage"": {""regex"": r'(?:localStorage|sessionStorage)\.getItem\([\'""]([a-zA-Z0-9_-]+)[\'""]\)', ""type"": ""Browser Storage"", ""exts"": {'.ts','.tsx','.js','.jsx'}},
    ""py_env"": {""regex"": r'(?:os\.env"
.claude/scripts,.claude/scripts/security/scan_config.py,jwt,Sensitive,Auth Token,No,Medium,"""go_env"": {""regex"": r'os\.Getenv\([\'""]([a-zA-Z0-9_]+)[\'""]\)', ""type"": ""Env (Go)"", ""exts"": {'.go'}},
    ""auth_token"": {""regex"": r'(Authorization|x-api-key|stripe-signature|clerk-[a-z-]+|jwt|bearer|s"
.claude/scripts,.claude/scripts/security/scan_config.py,session,Sensitive,Auth Token,No,Medium,"""go_env"": {""regex"": r'os\.Getenv\([\'""]([a-zA-Z0-9_]+)[\'""]\)', ""type"": ""Env (Go)"", ""exts"": {'.go'}},
    ""auth_token"": {""regex"": r'(Authorization|x-api-key|stripe-signature|clerk-[a-z-]+|jwt|bearer|s"
.claude/scripts,.claude/scripts/security/scan_inputs.py,session,Sensitive,Auth Token,No,Medium,"""ts_graphql"": {""regex"": r'(?:args|variables)\.([a-zA-Z0-9_]+)', ""type"": ""GraphQL/RPC Argument"", ""exts"": {'.ts','.tsx','.js','.jsx'}},
    ""ts_headers"": {""regex"": r'(?:req|request|headers\(\))\.get\([\"
.claude/scripts,.claude/scripts/security/scan_inputs.py,Authorization,Sensitive,Auth Token,No,Medium,"""py_fastapi"": {""regex"": r'([a-zA-Z0-9_]+)\s*:\s*[^=,]+(?:\s*=\s*(?:Query|Path|Body|Form|Header|Cookie|File|Depends)\()', ""type"": ""FastAPI Extractor"", ""exts"": {'.py'}},
    ""py_env"": {""regex"": r'(?:os\"
.claude/scripts,.claude/scripts/security/scan_inputs.py,x-api-key,Sensitive,Auth Token,No,Medium,"""py_fastapi"": {""regex"": r'([a-zA-Z0-9_]+)\s*:\s*[^=,]+(?:\s*=\s*(?:Query|Path|Body|Form|Header|Cookie|File|Depends)\()', ""type"": ""FastAPI Extractor"", ""exts"": {'.py'}},
    ""py_env"": {""regex"": r'(?:os\"
.claude/scripts,.claude/scripts/security/scan_inputs.py,stripe-signature,Sensitive,Auth Token,No,Medium,"""py_fastapi"": {""regex"": r'([a-zA-Z0-9_]+)\s*:\s*[^=,]+(?:\s*=\s*(?:Query|Path|Body|Form|Header|Cookie|File|Depends)\()', ""type"": ""FastAPI Extractor"", ""exts"": {'.py'}},
    ""py_env"": {""regex"": r'(?:os\"
.claude/scripts,.claude/scripts/security/scan_inputs.py,jwt,Sensitive,Auth Token,No,Medium,"""py_fastapi"": {""regex"": r'([a-zA-Z0-9_]+)\s*:\s*[^=,]+(?:\s*=\s*(?:Query|Path|Body|Form|Header|Cookie|File|Depends)\()', ""type"": ""FastAPI Extractor"", ""exts"": {'.py'}},
    ""py_env"": {""regex"": r'(?:os\"
.claude/scripts,.claude/scripts/security/scan_inputs.py,bearer,Sensitive,Auth Token,No,Medium,"""py_fastapi"": {""regex"": r'([a-zA-Z0-9_]+)\s*:\s*[^=,]+(?:\s*=\s*(?:Query|Path|Body|Form|Header|Cookie|File|Depends)\()', ""type"": ""FastAPI Extractor"", ""exts"": {'.py'}},
    ""py_env"": {""regex"": r'(?:os\"
.claude/scripts,.claude/scripts/security/scan_inputs.py,session,Sensitive,Auth Token,No,Medium,"""py_fastapi"": {""regex"": r'([a-zA-Z0-9_]+)\s*:\s*[^=,]+(?:\s*=\s*(?:Query|Path|Body|Form|Header|Cookie|File|Depends)\()', ""type"": ""FastAPI Extractor"", ""exts"": {'.py'}},
    ""py_env"": {""regex"": r'(?:os\"
.claude/scripts,.claude/scripts/security/scan_inputs.py,jwt,Sensitive,Auth Token,No,Medium,"except: pass
    return fields

def classify(name, itype, in_db):
    nl = name.lower()
    if any(k in nl for k in ['key','secret','token','password','auth','credential','jwt','session']): return ""Se"
.claude/scripts,.claude/scripts/security/scan_inputs.py,session,Sensitive,Auth Token,No,Medium,"except: pass
    return fields

def classify(name, itype, in_db):
    nl = name.lower()
    if any(k in nl for k in ['key','secret','token','password','auth','credential','jwt','session']): return ""Se"
ember/devbox,ember/devbox/drizzle.config.ts,DATABASE_URL,Config,Env (Node),No,Low,"export default defineConfig({
  schema: ""./src/db.ts"",
  out: ""./drizzle"",
  dialect: ""postgresql"",
  dbCredentials: { url: process.env.DATABASE_URL! },
});"
ember/devbox,ember/devbox/src/__tests__/setup.ts,TEST_DATABASE_URL,Config,Env (Node),No,Low,"import { migrate } from ""drizzle-orm/postgres-js/migrator"";
import { readFileSync, readdirSync } from ""fs"";
import { join } from ""path"";
import * as schema from ""../db.js"";

const TEST_DB_URL = proces"
ember/devbox,ember/devbox/src/__tests__/setup.ts,DATABASE_URL,Config,Env (Node),No,Low,"export const testSql = postgres(TEST_DB_URL);
export const testDb = drizzle(testSql, { schema });

// Override the connection module's exports for tests
process.env.DATABASE_URL = TEST_DB_URL;

before"
ember/devbox,ember/devbox/src/__tests__/setup.ts,session,Sensitive,Auth Token,No,Medium,"}
});

afterEach(async () => {
  // Truncate all tables (order matters for FKs)
  await testSql`SET session_replication_role = replica`; // Disable FK checks
  for (const table of [
    ""credit_transa"
ember/devbox,ember/devbox/src/__tests__/setup.ts,session,Sensitive,Auth Token,No,Medium,"afterEach(async () => {
  // Truncate all tables (order matters for FKs)
  await testSql`SET session_replication_role = replica`; // Disable FK checks
  for (const table of [
    ""credit_transactions"""
ember/devbox,ember/devbox/src/__tests__/setup.ts,session,Sensitive,Auth Token,No,Medium,"// Truncate all tables (order matters for FKs)
  await testSql`SET session_replication_role = replica`; // Disable FK checks
  for (const table of [
    ""credit_transactions"", ""worker_allocations"", ""p"
ember/devbox,ember/devbox/src/__tests__/setup.ts,session,Sensitive,Auth Token,No,Medium,"for (const table of [
    ""credit_transactions"", ""worker_allocations"", ""processed_stripe_events"",
    ""stoke_sessions"", ""ai_usage"", ""api_keys"",
    ""audit_log"", ""billing_events"", ""terminal_sessions"", "
ember/devbox,ember/devbox/src/__tests__/setup.ts,session,Sensitive,Auth Token,No,Medium,"""purchase_intents"", ""password_reset_tokens"", ""email_verification_tokens"",
    ""machines"", ""slots"", ""subscriptions"", ""oauth_accounts"", ""sessions"", ""users"",
  ]) {
    await testSql`TRUNCATE TABLE ${tes"
ember/devbox,ember/devbox/src/__tests__/terminal.test.ts,session,Sensitive,Auth Token,No,Medium,"expect(result.length).toBe(0);
  });
});

describe(""Terminal: Session Tracking"", () => {
  it(""creates a session record on terminal auth"", async () => {
    const user = await createTestUser();
    co"
ember/devbox,ember/devbox/src/__tests__/terminal.test.ts,session,Sensitive,Auth Token,No,Medium,"const user = await createTestUser();
    const sub = await createTestSubscription(user.id, ""sub_sess_1"");
    const slot = await createTestSlot(user.id, sub.id);
    const machine = await createTestMa"
ember/devbox,ember/devbox/src/__tests__/terminal.test.ts,session,Sensitive,Auth Token,No,Medium,"const machine = await createTestMachine(user.id, slot.id);

    const sessionId = crypto.randomUUID().replace(/-/g, """").slice(0, 20);
    const expiresAt = new Date(Date.now() + 86400_000);

    await"
ember/devbox,ember/devbox/src/__tests__/terminal.test.ts,session,Sensitive,Auth Token,No,Medium,"const sessionId = crypto.randomUUID().replace(/-/g, """").slice(0, 20);
    const expiresAt = new Date(Date.now() + 86400_000);

    await testSql`INSERT INTO terminal_sessions (id, machine_id, user_id,"
ember/devbox,ember/devbox/src/__tests__/terminal.test.ts,session,Sensitive,Auth Token,No,Medium,"const expiresAt = new Date(Date.now() + 86400_000);

    await testSql`INSERT INTO terminal_sessions (id, machine_id, user_id, status, expires_at)
      VALUES (${sessionId}, ${machine.id}, ${user.id}"
ember/devbox,ember/devbox/src/__tests__/terminal.test.ts,session,Sensitive,Auth Token,No,Medium,"expect(row.status).toBe(""active"");
    expect(row.user_id).toBe(user.id);
    expect(row.machine_id).toBe(machine.id);
  });

  it(""revokes all sessions for a user with reason"", async () => {
    cons"
ember/devbox,ember/devbox/src/__tests__/terminal.test.ts,session,Sensitive,Auth Token,No,Medium,"const user = await createTestUser();
    const sub = await createTestSubscription(user.id, ""sub_sess_2"");
    const slot = await createTestSlot(user.id, sub.id);
    const machine = await createTestMa"
ember/devbox,ember/devbox/src/__tests__/terminal.test.ts,session,Sensitive,Auth Token,No,Medium,"const slot = await createTestSlot(user.id, sub.id);
    const machine = await createTestMachine(user.id, slot.id);

    // Create 3 sessions
    for (let i = 0; i < 3; i++) {
      await testSql`INSER"
ember/devbox,ember/devbox/src/__tests__/terminal.test.ts,session,Sensitive,Auth Token,No,Medium,"await testSql`INSERT INTO terminal_sessions (id, machine_id, user_id, status, expires_at)
        VALUES (${`ts_${i}`}, ${machine.id}, ${user.id}, 'active', NOW() + interval '1 day')`;
    }

    // R"
ember/devbox,ember/devbox/src/__tests__/terminal.test.ts,session,Sensitive,Auth Token,No,Medium,"// Revoke all
    await testSql`UPDATE terminal_sessions SET status = 'revoked', revoked_at = NOW(), revoke_reason = 'logout'
      WHERE user_id = ${user.id} AND status = 'active'`;

    const rows ="
ember/devbox,ember/devbox/src/__tests__/terminal.test.ts,session,Sensitive,Auth Token,No,Medium,"const slot = await createTestSlot(user1.id, sub.id, { stripeItemId: ""si_s3a"" });
    const slot2 = await createTestSlot(user2.id, sub2.id, { stripeItemId: ""si_s3b"" });
    const m1 = await createTestM"
ember/devbox,ember/devbox/src/__tests__/terminal.test.ts,session,Sensitive,Auth Token,No,Medium,"const m1 = await createTestMachine(user1.id, slot.id, { flyAppName: ""ember-u1"" });
    const m2 = await createTestMachine(user2.id, slot2.id, { flyAppName: ""ember-u2"" });

    await testSql`INSERT INT"
ember/devbox,ember/devbox/src/__tests__/terminal.test.ts,session,Sensitive,Auth Token,No,Medium,"VALUES ('ts_u1', ${m1.id}, ${user1.id}, 'active', NOW() + interval '1 day')`;
    await testSql`INSERT INTO terminal_sessions (id, machine_id, user_id, status, expires_at)
      VALUES ('ts_u2', ${m2."
ember/devbox,ember/devbox/src/__tests__/terminal.test.ts,session,Sensitive,Auth Token,No,Medium,"VALUES ('ts_u2', ${m2.id}, ${user2.id}, 'active', NOW() + interval '1 day')`;

    // Revoke user1 only
    await testSql`UPDATE terminal_sessions SET status = 'revoked' WHERE user_id = ${user1.id}`;
"
ember/devbox,ember/devbox/src/__tests__/terminal.test.ts,session,Sensitive,Auth Token,No,Medium,"// Revoke user1 only
    await testSql`UPDATE terminal_sessions SET status = 'revoked' WHERE user_id = ${user1.id}`;

    const [s1] = await testSql`SELECT status FROM terminal_sessions WHERE id = 'ts"
ember/devbox,ember/devbox/src/__tests__/terminal.test.ts,session,Sensitive,Auth Token,No,Medium,"const slot = await createTestSlot(user.id, sub.id);
    const machine = await createTestMachine(user.id, slot.id);

    for (const reason of [""logout"", ""ban"", ""password_reset"", ""machine_restart""]) {
 "
ember/devbox,ember/devbox/src/__tests__/terminal.test.ts,session,Sensitive,Auth Token,No,Medium,"for (const reason of [""logout"", ""ban"", ""password_reset"", ""machine_restart""]) {
      const sid = `ts_${reason}`;
      await testSql`INSERT INTO terminal_sessions (id, machine_id, user_id, status, exp"
ember/devbox,ember/devbox/src/__tests__/terminal.test.ts,session,Sensitive,Auth Token,No,Medium,"await testSql`INSERT INTO terminal_sessions (id, machine_id, user_id, status, expires_at)
        VALUES (${sid}, ${machine.id}, ${user.id}, 'active', NOW() + interval '1 day')`;
      await testSql`U"
ember/devbox,ember/devbox/src/auth.ts,session,Sensitive,Auth Token,No,Medium,"import { Lucia } from ""lucia"";
import { DrizzlePostgreSQLAdapter } from ""@lucia-auth/adapter-drizzle"";
import { GitHub, Google } from ""arctic"";
import { db } from ""./connection.js"";
import { users, se"
